"Longitude","Latitude","Waterbody_Name","Capture_Year","urban","natural","agricultural","mean_length","mean_tp","mean_vulnerability","mean_long","richness"
-83.10562897,42.24573898,"Turkey Creek",2003,63.96697953,18.77869501,17.25432546,14.5366666666667,3.24333333333333,33.3853333333333,11.0666666666667,15
-83.10262299,42.24509048,"Turkey Creek",2003,62.07864571,18.95748708,18.96386721,20.81,3.268666673,37.8793333333333,14.4666666666667,15
-83.10241699,42.16188049,"Canard River",2002,28.44147213,5.894325829,65.66420204,19.9404761904762,3.17047619047619,34.962380952381,NA,21
-83.09779358,42.24493027,"Turkey Creek",2003,60.46162836,18.59758473,20.94078691,18.0785714285714,3.01285714285714,34.1757142857143,13.7142857142857,14
-83.09471893,42.24517059,"Turkey Creek",2003,60.17150054,17.89087676,21.9376227,23.02,3.15,35.535,18.2,10
-83.07653046,42.06404114,"Big Creek",2007,16.46640747,8.424959977,75.10863255,16.4166666666667,3.22333333333333,36.6366666666667,17.3333333333333,3
-83.07649994,42.06386948,"Big Creek",2007,16.39483011,8.447798565,75.15737133,16.05,3.15,38.8266666666667,18.3333333333333,3
-83.04586029,42.0329895,"Big Creek",2007,9.651596012,8.571644346,81.77675964,18.7166666666667,3.62333333333333,34.1133333333333,NA,3
-83.0457077,42.03340149,"Big Creek",2007,9.560614345,8.504398827,81.93498683,11.7333333333333,3.32666666666667,30.1233333333333,NA,3
-83.03066254,42.17316437,"Canard River",2002,16.90031244,3.527677887,79.57200967,23.8145833333333,3.213333332125,39.09,NA,24
-82.84656,42.30702,"Pike Creek",2016,46.39577748,1.9269437,51.67727882,26.6,3.49,49.6,10,1
-82.84629,42.30792,"Pike Creek",2016,47.00581941,1.948905234,51.04527536,15.1,3.15,32.0533333333333,7.66666666666667,3
-82.84532,42.31275,"Pike Creek",2016,51.04487774,2.12947028,46.82565198,24.6833333333333,2.87,40.6833333333333,10.3333333333333,3
-82.84455,42.31353,"Pike Creek",2016,51.47263451,2.160636982,46.36672851,19.79,3.0679999942,31.326,16.4,5
-82.84343,42.31316,"Pike Creek",2016,50.68908277,2.157967881,47.15294935,16.86875,3.09625,33.5825,9.75,8
-82.84328,42.31306,"Pike Creek",2016,50.55699032,2.154723818,47.28828586,23.65,3.75,36.78,12.3333333333333,3
-82.83983,42.3183,"Pike Creek",2016,54.25102118,2.270038615,43.4789402,21.66,3.4200000132,40.492,14,5
-82.8398,42.31799,"Pike Creek",2016,53.98741748,2.252890878,43.75969164,20.1125,3.156249996375,34.43125,9.375,8
-82.79000092,42.01115036,"Cedar Creek",2003,17.18170301,12.06678129,70.7515157,22.03125,3.1056249981875,37.841875,12.75,16
-82.68730164,42.29265976,"Duck Creek",2004,20.31059501,1.0553035,78.63410149,12.99,3.171,27.371,9.2,10
-82.63076,42.26933,"Ruscom River",2016,9.484300666,0.933713923,89.58198541,22.5,3.33,45.89,4,1
-82.62975,42.2837,"Ruscom River",2016,10.94302103,0.550669216,88.50630975,17.67,3.448,35.708,8,5
-82.62947,42.2823,"Ruscom River",2016,10.68337096,0.566610354,88.75001869,17.61,3.432000019,39.224,12.8,5
-82.62863,42.27785,"Ruscom River",2010,9.967404838,0.692472336,89.34012283,18.9857142857143,3.43428571428571,27.6128571428571,NA,7
-82.62832,42.28767,"Ruscom River",2016,11.37594623,0.523688332,88.10036544,16.7,3.405,32.5783333333333,10,6
-82.62791,42.277,"Ruscom River",2016,9.963803155,0.660385179,89.37581167,24.01,3.610000019,45.926,11.6,5
-82.62742,42.28201,"Ruscom River",2016,10.45408738,0.603177426,88.94273519,13.6166666666667,3.36666666666667,34.6433333333333,8.66666666666667,3
-82.62711,42.28629,"Ruscom River",2016,11.04565304,0.538308853,88.41603811,20.3357142857143,3.55428571428571,36.5457142857143,11.2857142857143,7
-82.62106,42.30045,"Ruscom River",2016,12.87894671,0.394146505,86.72690679,22.9833333333333,3.74,39.3033333333333,15,3
-82.50371,42.6374,"Chenail Ecarte (The Snye)",2010,12.02120383,18.46143981,69.51735636,17.8586956521739,3.21347826086957,35.72,NA,23
-82.45211,42.31833,"Thames River",2010,11.19138836,4.743066545,84.0655451,26.6266666666667,3.32266667933333,43.156,11.2,15
-82.45011,42.08221,"East Two Creeks",2016,16.70153125,6.175215463,77.12325328,17.6153846153846,3.23461538238462,29.3115384615385,11.4615384615385,13
-82.44969,42.31671,"Thames River",2010,11.16563446,4.519282139,84.3150834,24.8375,3.19250001425,39.943,11.4,20
-82.44822,42.07742,"East Two Creeks",2016,18.18203034,6.868144691,74.94982497,18.5222222222222,3.15777777455556,27.7233333333333,12.2222222222222,9
-82.44806,42.08789,"East Two Creeks",2016,16.02528645,5.748715923,78.22599763,19.825,3.3639999971,34.875,16.6,10
-82.44515991,42.63053894,"Whitebread Drain/ Grape Run",2003,8.299443937,5.368554593,86.33200147,23.3315789473684,3.34631579294737,37.6310526315789,NA,19
-82.44512,42.63055,"Whitebread Drain/ Grape Run",2010,8.295094796,5.364066446,86.34083876,16.1909090909091,3.43363636363636,31.0754545454545,NA,11
-82.44481,42.08532,"East Two Creeks",2016,17.02558796,6.022979586,76.95143245,21.6541666666667,3.29416666425,35.7191666666667,15.5,12
-82.443,42.08617,"East Two Creeks",2016,17.14728885,6.038362389,76.81434876,13.2916666666667,3.14499999516667,26.3883333333333,13.5,6
-82.43849945,42.31309891,"Jeanette's Creek",2003,11.49346884,4.316019235,84.19051192,32.025,3.550000011875,46.98875,16.625,8
-82.43621,42.50647,"Sydenham River",2010,3.938264081,34.56960528,61.49213064,11.875,3.095,30.6695833333333,9,24
-82.42945862,42.32349014,"Thames River",2003,9.419686493,6.114469826,84.46584368,26.9025,3.26250000805,34.4825,11.7,20
-82.42929,42.57352,"Chenail Ecarte (The Snye)",2010,15.04312469,10.47683588,74.48003943,12.365625,2.98875,26.176875,6.6875,16
-82.41865,42.98576,"Beaver Creek",2012,99.22509121,0.209281937,0.565626856,22.0666666666667,3.34166667766667,39.595,13,6
-82.41743,42.55906,"Chenail Ecarte (The Snye)",2010,12.27940532,10.76514573,76.95544895,12.684,3.1136,30.1832,NA,25
-82.40609,42.52747,"Chenail E'carte",2013,3.288178914,15.15399361,81.55782748,16.32,3.062,30.768,NA,15
