sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,stomachTP
KC,Kettle Creek,2,johnny darter,5,KC-S18-341-5,NA,53,1.5,Y,I,empty,unknown,
KC,Kettle Creek,2,johnny darter,6,KC-S18-341-6,NA,54,1.5,Y,M,worms,aquatic,2
KC,Kettle Creek,2,northern hog sucker,15,KC-S18-165-15,140,150,36.5,N,,,,
KC,Kettle Creek,2,rock bass,14,KC-S18-311-14,NA,44,1,N,,,,
KC,Kettle Creek,2,common shiner,9,KC-S18-198-9,43,45,1,Y,,,,
KC,Kettle Creek,2,bluntnose minnow,7,KC-S18-208-7,45,47,1,Y,I,detritus,terrestrial,1
KC,Kettle Creek,2,northern hog sucker,16,KC-S18-165-16,148,160,38.5,N,,,,
KC,Kettle Creek,2,white sucker,3,KC-S18-163-3,67,69,3.5,Y,I,algae,aquatic,1
KC,Kettle Creek,2,white sucker,4,KC-S18-163-4,50,52,1.5,Y,I,algae,aquatic,1
KC,Kettle Creek,2,white sucker,5,KC-S18-163-5,40,43,1,N,,,,
KC,Kettle Creek,2,stonecat,7,KC-S18-235-7,NA,100,9.5,N,,,,
KC,Kettle Creek,2,common shiner,10,KC-S18-198-10,79,85,5.5,Y,F,algae,aquatic,1
KC,Kettle Creek,2,johnny darter,7,KC-S18-341-7,NA,54,1.5,Y,I,algae,aquatic,1
KC,Kettle Creek,2,stonecat,8,KC-S18-235-8,NA,37,0.5,N,,,,
KC,Kettle Creek,2,stonecat,9,KC-S18-235-9,NA,40,1.5,N,,,,
KC,Kettle Creek,2,stonecat,10,KC-S18-235-10,NA,42,1,N,,,,
KC,Kettle Creek,2,northern hog sucker,17,KC-S18-165-17,54,56,2,N,,,,
KC,Kettle Creek,2,creek chub,15,KC-S18-212-15,29,31,0.3,N,,,,
KC,Kettle Creek,2,creek chub,16,KC-S18-212-16,149,156,39.5,Y,F,detritus,terrestrial,1
KC,Kettle Creek,2,johnny darter,bulk2-1,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-2,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-3,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-4,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-5,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-6,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-7,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-8,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-9,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-10,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-11,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-12,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-13,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-14,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-15,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-16,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-17,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-18,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-19,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-20,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-21,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-22,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-23,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-24,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-25,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-26,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-27,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-28,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-29,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-30,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-31,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-32,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-33,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-34,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,johnny darter,bulk2-35,,NA,NA,0.357142857,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-1,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-2,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-3,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-4,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-5,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,common shiner,bulk2-6,,NA,NA,0.333333333,N,,,,
KC,Kettle Creek,2,blackside darter,5,KC-S18-344-5,NA,54,1.5,N,,,,
KC,Kettle Creek,2,blackside darter,6,KC-S18-344-6,NA,51,1,N,,,,
KC,Kettle Creek,2,blackside darter,7,KC-S18-344-7,NA,41,0.5,N,,,,
KC,Kettle Creek,2,blackside darter,8,KC-S18-344-8,NA,38,0.5,N,,,,
KC,Kettle Creek,2,johnny darter,8,KC-S18-341-8,NA,31,0.3,N,,,,
KC,Kettle Creek,2,creek chub,17,KC-S18-212-17,NA,32,0.3,N,,,,
KC,Kettle Creek,2,creek chub,18,KC-S18-212-18,NA,32,0.3,N,,,,
KC,Kettle Creek,2,johnny darter,9,KC-S18-341-9,NA,31,0.3,N,,,,
KC,Kettle Creek,2,creek chub,19,KC-S18-212-19,NA,37,0.5,N,,,,
KC,Kettle Creek,2,creek chub,20,KC-S18-212-20,38,40,1,N,,,,
KC,Kettle Creek,2,creek chub,21,KC-S18-212-21,41,43,1,N,,,,
KC,Kettle Creek,2,creek chub,22,KC-S18-212-22,165,173,53,Y,F,crayfish,aquatic,2.5
KC,Kettle Creek,2,creek chub,23,KC-S18-212-23,80,85,6.5,Y,F,"algae, insects",aquatic,1.5
KC,Kettle Creek,2,creek chub,24,KC-S18-212-24,55,59,2,Y,I,detritus,terrestrial,1
KC,Kettle Creek,2,creek chub,25,KC-S18-212-25,50,53,1.5,Y,I,detritus,terrestrial,1
KC,Kettle Creek,3,creek chub,26,KC-S18-212-26,69,72,4,Y,I,"caterpillar, detritus",terrestrial,1.5
KC,Kettle Creek,3,creek chub,27,KC-S18-212-27,118,123,18.5,Y,F,"algae, insects",aquatic,1.5
KC,Kettle Creek,2,creek chub,28,KC-S18-212-28,39,41,1,N,,,,
KC,Kettle Creek,2,creek chub,29,KC-S18-212-29,46,48,1.5,N,,,,
KC,Kettle Creek,2,creek chub,30,KC-S18-212-30,45,48,1.5,N,,,,
KC,Kettle Creek,2,creek chub,31,KC-S18-212-31,37,40,1,N,,,,
KC,Kettle Creek,2,creek chub,32,KC-S18-212-32,38,41,1,N,,,,
KC,Kettle Creek,2,creek chub,33,KC-S18-212-33,40,42,1,N,,,,
KC,Kettle Creek,2,creek chub,34,KC-S18-212-34,43,46,1,N,,,,
KC,Kettle Creek,2,creek chub,35,KC-S18-212-35,NA,35,0.5,N,,,,
KC,Kettle Creek,3,rock bass,15,KC-S18-311-15,NA,32,1,N,,,,
KC,Kettle Creek,3,bluntnose minnow,8,KC-S18-208-8,61,63,2.5,Y,U,detritus,terrestrial,1
KC,Kettle Creek,3,rock bass,16,KC-S18-311-16,NA,42,1.5,N,,,,
KC,Kettle Creek,3,creek chub,36,KC-S18-212-36,49,51,1.5,N,,,,
KC,Kettle Creek,3,stonecat,11,KC-S18-235-11,NA,103,11.5,N,,,,
KC,Kettle Creek,3,white sucker,6,KC-S18-163-6,43,45,1,Y,I,algae,aquatic,1
KC,Kettle Creek,3,white sucker,8,KC-S18-163-8,150,160,35.5,Y,M,algae,aquatic,1
KC,Kettle Creek,3,johnny darter,10,KC-S18-341-10,NA,48,1.5,Y,I,algae,aquatic,1
KC,Kettle Creek,3,common shiner,11,KC-S18-198-11,78,85,5,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-1,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-2,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-3,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-4,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-5,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-6,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-7,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-8,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-9,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-10,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,johnny darter,bulk3-11,,NA,NA,0.318181818,N,,,,
KC,Kettle Creek,3,creek chub,37,KC-S18-212-37,41,44,1,N,,,,
KC,Kettle Creek,3,creek chub,38,KC-S18-212-38,37,40,1,N,,,,
KC,Kettle Creek,3,common shiner,12,KC-S18-198-12,35,40,0.5,N,,,,
KC,Kettle Creek,3,blackside darter,9,KC-S18-344-9,NA,47,1,N,,,,
KC,Kettle Creek,3,common shiner,13,KC-S18-198-13,31,35,0.3,N,,,,
KC,Kettle Creek,3,creek chub,39,KC-S18-212-39,42,45,1,N,,,,
KC,Kettle Creek,3,creek chub,40,KC-S18-212-40,35,37,0.5,N,,,,
KC,Kettle Creek,3,common shiner,14,KC-S18-198-14,37,41,0.5,N,,,,
KC,Kettle Creek,3,creek chub,41,KC-S18-212-41,NA,33,0.5,N,,,,
KC,Kettle Creek,3,common shiner,15,KC-S18-198-15,NA,36,0.5,N,,,,
KC,Kettle Creek,3,creek chub,42,KC-S18-212-42,34,36,1,N,,,,
KC,Kettle Creek,3,johnny darter,11,KC-S18-341-11,NA,42,0.5,N,,,,
KC,Kettle Creek,3,johnny darter,12,KC-S18-341-12,NA,46,0.5,N,,,,
KC,Kettle Creek,3,creek chub,43,KC-S18-212-43,40,42,1,N,,,,
KC,Kettle Creek,3,creek chub,44,KC-S18-212-44,42,45,1,N,,,,
KC,Kettle Creek,3,blacknose dace,1,KC-S18-630-1,38,39,0.5,N,,,,
KC,Kettle Creek,3,johnny darter,13,KC-S18-341-13,NA,38,0.5,N,,,,
KC,Kettle Creek,3,common shiner,16,KC-S18-198-16,37,39,0.5,N,,,,
KC,Kettle Creek,3,creek chub,45,KC-S18-212-45,NA,31,0.3,N,,,,
KC,Kettle Creek,3,stonecat,12,KC-S18-235-12,NA,21,0.3,N,,,,
KC,Kettle Creek,3,johnny darter,14,KC-S18-341-14,NA,32,0.3,N,,,,
KC,Kettle Creek,3,johnny darter,15,KC-S18-341-15,NA,34,0.3,N,,,,
KC,Kettle Creek,3,johnny darter,16,KC-S18-341-16,NA,30,0.3,N,,,,
KC,Kettle Creek,3,creek chub,46,KC-S18-212-46,32,34,0.5,N,,,,
KC,Kettle Creek,3,common shiner,17,KC-S18-198-17,64,69,3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-1,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-2,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-3,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-4,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-5,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-6,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-7,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-8,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-9,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-10,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-11,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-12,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-13,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-14,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,common shiner,bulk3-15,,NA,NA,0.3,N,,,,
KC,Kettle Creek,3,rock bass,17,KC-S18-311-17,NA,31,0.5,N,,,,
KC,Kettle Creek,3,johnny darter,17,KC-S18-341-17,NA,27,0.3,N,,,,
KC,Kettle Creek,3,stonecat,13,KC-S18-235-13,NA,151,31,N,,,,
EF,Lake Erie Farms,3,white sucker,1,LE-18-163-1,43,45,0.5,N,,,,
EF,Lake Erie Farms,1,yellow perch,1,LE-18-331-1,114,117,15.5,Y,F,Catapillars,terrestrial,2
EF,Lake Erie Farms,2,yellow perch,2,LE-18-331-2,81,84,5,Y,I,Worms,aquatic,2
EF,Lake Erie Farms,2,yellow perch,3,LE-18-331-3,100,105,12,Y,M,"Catapillar, Detritus",terrestrial,1.5
EF,Lake Erie Farms,3,yellow perch,4,LE-18-331-4,110,113,16,Y,U,Larvae,aquatic,2
EF,Lake Erie Farms,3,bluegill,1,LE-18-314-1,56,59,3,N,,,,
EF,Lake Erie Farms,3,log perch,1,LE-18-342-1,100,101,10.4,N,,,,
EF,Lake Erie Farms,3,log perch,2,LE-18-342-2,80,84,5,N,,,,
EF,Lake Erie Farms,1,blackside darter,1,LE-18-344-1,NA,68,2.5,Y,M,Insects,unknown,2
EF,Lake Erie Farms,1,blackside darter,2,LE-18-344-1,NA,80,4.5,Y,F,empty,unknown,
EF,Lake Erie Farms,1,blackside darter,3,LE-18-344-1,NA,64,2.5,Y,I,Insects,unknown,2
EF,Lake Erie Farms,2,blackside darter,4,LE-18-344-1,NA,84,5.5,Y,M,Worms,terrestrial,2
EF,Lake Erie Farms,2,blackside darter,5,LE-18-344-1,NA,66,2.5,Y,M,Worms,terrestrial,2
EF,Lake Erie Farms,3,blackside darter,6,LE-18-344-1,NA,65,2,Y,M,Veg,aquatic,1
EF,Lake Erie Farms,3,blackside darter,7,LE-18-344-1,NA,79,4.5,Y,M,Flies,terrestrial,2
EF,Lake Erie Farms,1,mottled sculpin,1,LE-18-801-1,NA,78,5,N,,,,
EF,Lake Erie Farms,2,mottled sculpin,2,LE-18-801-2,NA,92,10.5,N,,,,
EF,Lake Erie Farms,3,mottled sculpin,3,LE-18-801-3,NA,72,4.5,N,,,,
EF,Lake Erie Farms,3,mottled sculpin,4,LE-18-801-4,NA,25,0.3,N,,,,
EF,Lake Erie Farms,3,mottled sculpin,5,LE-18-801-5,NA,25,0.3,N,,,,
EF,Lake Erie Farms,3,mottled sculpin,6,LE-18-801-6,NA,24,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,1,LEST-S18-074-1,48,50,1,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,2,LEST-S18-074-2,61,64,2,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,3,LEST-S18-074-3,39,41,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,4,LEST-S18-074-4,55,59,1.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,5,LEST-S18-074-5,51,53,3.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,rainbow trout,6,LEST-S18-074-6,61,63,2,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,1,LEST-S18-212-1,35,37,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,2,LEST-S18-212-2,30,32,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,3,LEST-S18-212-3,27,28,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,4,LEST-S18-212-4,30,32,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,5,LEST-S18-212-5,33,35,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,6,LEST-S18-212-6,42,45,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,7,LEST-S18-212-7,38,40,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,8,LEST-S18-212-8,28,30,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,9,LEST-S18-212-9,32,34,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,10,LEST-S18-212-10,28,30,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,11,LEST-S18-212-11,33,35,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,creek chub,12,LEST-S18-212-12,61,66,3,Y,I,detritus,aquatic,1
ST,Lake Erie Salmon and Trout Club,1,creek chub,13,LEST-S18-212-13,49,52,1.5,Y,I,detritus,aquatic,1
ST,Lake Erie Salmon and Trout Club,1,creek chub,14,LEST-S18-212-14,59,64,2.5,Y,M,empty,unknown,
ST,Lake Erie Salmon and Trout Club,1,creek chub,15,LEST-S18-212-15,50,54,1.5,Y,I,"detritus, insects",unknown,1.5
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,1,LEST-S18-630-1,34,36,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,2,LEST-S18-630-2,29,31,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,3,LEST-S18-630-3,28,31,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,4,LEST-S18-630-4,28,30,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,5,LEST-S18-630-5,28,30,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,6,LEST-S18-630-6,43,45,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,7,LEST-S18-630-7,31,33,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,8,LEST-S18-630-8,32,34,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,9,LEST-S18-630-9,28,30,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,10,LEST-S18-630-10,31,33,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,11,LEST-S18-630-11,31,33,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,12,LEST-S18-630-12,28,29,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,13,LEST-S18-630-13,31,34,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,14,LEST-S18-630-14,52,55,1.5,Y,I,detritus,terrestrial,1
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,15,LEST-S18-630-15,65,68,3,Y,F,eggs,aquatic,2.5
ST,Lake Erie Salmon and Trout Club,1,blacknose dace,16,LEST-S18-630-16,51,53,1,Y,I,"worm, detritus",both,1.5
ST,Lake Erie Salmon and Trout Club,2,rainbow trout,7,LEST-S18-076-7,48,51,1,N,,,,
ST,Lake Erie Salmon and Trout Club,2,creek chub,16,LEST-S18-212-16,31,33,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,2,creek chub,17,LEST-S18-212-17,54,57,2.5,Y,I,worms,aquatic,2
ST,Lake Erie Salmon and Trout Club,2,blacknose dace,17,LEST-S18-630-17,30,31,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,3,creek chub,18,LEST-S18-212-18,39,42,1.5,N,,,,
ST,Lake Erie Salmon and Trout Club,3,creek chub,19,LEST-S18-212-19,27,29,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,3,blacknose dace,18,LEST-S18-630-18,30,32,0.5,N,,,,
ST,Lake Erie Salmon and Trout Club,3,blacknose dace,19,LEST-S18-630-19,30,32,0.3,N,,,,
ST,Lake Erie Salmon and Trout Club,3,blacknose dace,20,LEST-S18-630-20,31,35,0.3,N,,,,
MT,McTavish,1,brook stickleback,1,MT-S18-281-1,NA,56,1.5,Y,I,Chronomids/algae,aquatic,1.5
MT,McTavish,1,brook stickleback,2,MT-S18-281-2,NA,53,1.5,Y,I,Detritus,terrestrial,1
MT,McTavish,1,brook stickleback,3,MT-S18-281-3,NA,47,1.5,Y,F,Detritus/algae,both,1
MT,McTavish,1,brook stickleback,4,MT-S18-281-4,NA,41,1,Y,F,Algae,aquatic,1
MT,McTavish,1,brook stickleback,5,MT-S18-281-5,NA,37,0.5,Y,F,Algae/detritus,both,1
MT,McTavish,2,brook stickleback,6,MT-S18-281-6,NA,57,2,Y,F,Chronomids+algae,aquatic,1.5
MT,McTavish,2,brook stickleback,7,MT-S18-281-7,NA,46,1.5,Y,M,Fish Eggs,aquatic,2.5
MT,McTavish,2,brook stickleback,8,MT-S18-281-8,NA,52,1.5,Y,M,Insects,unknown,2
MT,McTavish,2,brook stickleback,9,MT-S18-281-9,NA,50,1.5,Y,F,Chronomids/detritus,aquatic,1.5
MT,McTavish,2,brook stickleback,10,MT-S18-281-10,NA,49,1,Y,M,Chronomids,aquatic,2
MT,McTavish,3,brook stickleback,11,MT-S18-281-11,NA,29,0.5,N,,,,
MT,McTavish,3,brook stickleback,12,MT-S18-281-12,NA,57.5,2,Y,F,Chronomids,aquatic,2
MT,McTavish,3,brook stickleback,13,MT-S18-281-13,NA,59,2,Y,F,Fish Eggs,aquatic,2.5
PF,Parrish,1,creek chub,bulk1-1,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-2,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-3,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-4,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-5,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-6,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-7,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-8,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-9,,NA,NA,0.9,N,,,,
PF,Parrish,1,creek chub,bulk1-10,,NA,NA,0.9,N,,,,
PF,Parrish,1,white sucker,bulk1-1,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-2,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-3,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-4,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-5,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-6,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-7,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-8,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-9,,NA,NA,0.5,N,,,,
PF,Parrish,1,white sucker,bulk1-10,,NA,NA,0.5,N,,,,
PF,Parrish,2,white sucker,bulk3-1,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-2,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-3,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-4,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-5,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-6,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-7,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-8,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-9,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-10,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-11,,NA,NA,0.416666667,N,,,,
PF,Parrish,2,white sucker,bulk3-12,,NA,NA,0.416666667,N,,,,
PF,Parrish,3,white sucker,bulk4-1,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-2,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-3,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-4,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-5,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-6,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-7,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-8,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-9,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-10,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-11,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-12,,NA,NA,0.461538462,N,,,,
PF,Parrish,3,white sucker,bulk4-13,,NA,NA,0.461538462,N,,,,
PF,Parrish,2,johnny darter,Bulk2-1,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-2,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-3,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-4,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-5,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-6,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-7,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-8,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-9,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-10,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-11,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-12,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-13,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-14,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-15,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-16,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-17,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-18,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-19,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-20,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-21,,NA,NA,0.392405063,N,,,,
PF,Parrish,2,johnny darter,Bulk2-22,,NA,NA,0.392405063,N,,,,
